countryLanguage,country,Hello,goodbye,thank you,bathroom,hungry
Spanish,Argentina,abrazo,nos vemos,gracias, donde el bano,tengo hambre
English,Australia,How ya goin',Hooroo,Cheers mate,where the dunny,I'm hungry
German,Austria,servus,Auf Wedersehen,danke,WC Bitte,ich bin hungrig
French,Belgium,Salut,Au Revoir,merci beaucoup,Ou sont les WC,J'ai faim
Spanish,Bolivia,Jallalla,Adios,Gracias,donde el bano,tengo hambre
Arabic,Egypt,salām 'alaykum,Ma'a El Salama,shokran,feen el ḥammām, Ana gaa'an
French,Canada,Bonjour,Au revoir,merci,où la salle de bain,j'ai faim
Spanish,Chile,hola,hasta luego,gracias,Dónde está el baño,tengo hambre
French,France,salut,Au revoir,Je vous remercie,où la salle de bain,j'ai faim
Finnish,Finland,Hei,Hyvästi,Kiitos,missä kylpyhuone,olen nälkäinen
Spanish,Ecuador,hola,adios,gracias,Donde está el baño,Tengo hambre
Danish,Denmark,Hej,farvel,tak skal du have,hvor badeværelset,jeg er sulten